repository_owner,repository_name,file_path,filename,original_file_path,repository_url,file_url,branch,stargazers_count,forks_count,created_at,pushed_at,updated_at,lines_of_code,manifest_specific_commit_count,first_manifest_commit_date,file_composite_key,length_of_words,complexity_score
accretion-xyz,solana-data-reverser,CLAUDE.md,CLAUDE.md,raw/accretion-xyz/solana-data-reverser/CLAUDE.md,https://github.com/accretion-xyz/solana-data-reverser,https://github.com/accretion-xyz/solana-data-reverser/blob/main/CLAUDE.md,main,32.0,8.0,2025-06-24T17:49:06Z,2025-07-04T16:14:26Z,2025-09-22T09:22:00Z,2.0,1,2025-07-04T16:14:23Z,accretion-xyz||solana-data-reverser||CLAUDE.md,41,80.43622807017547
Iamshankhadeep,ccseva,CLAUDE.md,CLAUDE.md,raw/Iamshankhadeep/ccseva/CLAUDE.md,https://github.com/Iamshankhadeep/ccseva,https://github.com/Iamshankhadeep/ccseva/blob/main/CLAUDE.md,main,717.0,35.0,2025-06-26T07:04:27Z,2025-10-17T23:32:06Z,2025-10-17T23:25:13Z,281.0,8,2025-06-19T09:51:14Z,Iamshankhadeep||ccseva||CLAUDE.md,1364,30.5442847906902
tokoroten,NovelDrive,CLAUDE.md,CLAUDE.md,raw/tokoroten/NovelDrive/CLAUDE.md,https://github.com/tokoroten/NovelDrive,https://github.com/tokoroten/NovelDrive/blob/main/CLAUDE.md,main,8.0,0.0,2025-06-21T17:35:39Z,2025-07-14T22:28:02Z,2025-07-15T20:17:55Z,246.0,13,2025-06-21T18:04:05Z,tokoroten||NovelDrive||CLAUDE.md,316,61.502200000000016
kenfdev,claude-code-todo-app,CLAUDE.md,CLAUDE.md,raw/kenfdev/claude-code-todo-app/CLAUDE.md,https://github.com/kenfdev/claude-code-todo-app,https://github.com/kenfdev/claude-code-todo-app/blob/main/CLAUDE.md,main,5.0,0.0,2025-06-18T01:05:48Z,2025-06-27T01:27:04Z,2025-07-07T12:27:52Z,207.0,4,2025-06-18T01:36:13Z,kenfdev||claude-code-todo-app||CLAUDE.md,801,48.91337996890965
toruta39,threejs-dash-gen,CLAUDE.md,CLAUDE.md,raw/toruta39/threejs-dash-gen/CLAUDE.md,https://github.com/toruta39/threejs-dash-gen,https://github.com/toruta39/threejs-dash-gen/blob/main/CLAUDE.md,main,19.0,8.0,2013-08-02T05:27:28Z,2025-08-09T09:42:14Z,2025-08-09T09:42:18Z,93.0,3,2025-08-09T08:50:24Z,toruta39||threejs-dash-gen||CLAUDE.md,443,31.069411764705876
fcoury,husk,CLAUDE.md,CLAUDE.md,raw/fcoury/husk/CLAUDE.md,https://github.com/fcoury/husk,https://github.com/fcoury/husk/blob/master/CLAUDE.md,master,13.0,0.0,2024-06-27T02:42:41Z,2025-07-20T13:46:36Z,2025-10-09T19:06:54Z,3.0,3,2025-06-22T21:12:01Z,fcoury||husk||CLAUDE.md,25,96.85666666666667
codeforjapan,BirdXplorer,CLAUDE.md,CLAUDE.md,raw/codeforjapan/BirdXplorer/CLAUDE.md,https://github.com/codeforjapan/BirdXplorer,https://github.com/codeforjapan/BirdXplorer/blob/main/CLAUDE.md,main,7.0,1.0,2023-09-06T08:59:29Z,2025-10-17T09:59:56Z,2025-09-10T04:11:58Z,21.0,1,2025-04-28T02:30:45Z,codeforjapan||BirdXplorer||CLAUDE.md,113,62.255000000000024
nguyenvanduocit,google-kit,CLAUDE.md,CLAUDE.md,raw/nguyenvanduocit/google-kit/CLAUDE.md,https://github.com/nguyenvanduocit/google-kit,https://github.com/nguyenvanduocit/google-kit/blob/main/CLAUDE.md,main,18.0,1.0,2025-02-20T15:13:56Z,2025-08-20T10:25:37Z,2025-08-20T10:25:31Z,72.0,1,2025-08-20T09:32:13Z,nguyenvanduocit||google-kit||CLAUDE.md,366,34.401532889941706
nguyenvanduocit,jira-mcp,CLAUDE.md,CLAUDE.md,raw/nguyenvanduocit/jira-mcp/CLAUDE.md,https://github.com/nguyenvanduocit/jira-mcp,https://github.com/nguyenvanduocit/jira-mcp/blob/main/CLAUDE.md,main,63.0,18.0,2025-03-25T13:35:58Z,2025-10-09T12:00:45Z,2025-10-09T12:00:39Z,153.0,3,2025-09-23T10:29:14Z,nguyenvanduocit||jira-mcp||CLAUDE.md,539,31.975039675542234
logancyang,obsidian-copilot,CLAUDE.md,CLAUDE.md,raw/logancyang/obsidian-copilot/CLAUDE.md,https://github.com/logancyang/obsidian-copilot,https://github.com/logancyang/obsidian-copilot/blob/master/CLAUDE.md,master,5477.0,464.0,2023-03-31T00:15:29Z,2025-10-17T01:37:07Z,2025-10-18T10:34:05Z,281.0,9,2025-03-21T21:33:02Z,logancyang||obsidian-copilot||CLAUDE.md,1499,36.86861326740609
