repository_owner,repository_name,file_url,candidate_instruction_count,final_not_to_do_count,final_not_to_do_pct_of_file,has_final_not_to_do,first_sentence_index,last_sentence_index
abh,ntppool,https://github.com/abh/ntppool/blob/main/CLAUDE.md,247,36,14.574899,1,1,90
actnwit,RhodoniteTS,https://github.com/actnwit/RhodoniteTS/blob/main/CLAUDE.md,57,2,3.508772,1,1,39
AhmedElywa,prisma-tools,https://github.com/AhmedElywa/prisma-tools/blob/main/CLAUDE.md,90,2,2.222222,1,1,21
ajanraj,OpenChat,https://github.com/ajanraj/OpenChat/blob/main/CLAUDE.md,135,12,8.888889,1,1,107
allenai,open-instruct,https://github.com/allenai/open-instruct/blob/main/CLAUDE.md,53,7,13.207547,1,1,36
allthingsida,qscripts,https://github.com/allthingsida/qscripts/blob/main/CLAUDE.md,52,0,0.000000,0,1,46
angular-eslint,angular-eslint,https://github.com/angular-eslint/angular-eslint/blob/main/CLAUDE.md,77,8,10.389610,1,1,61
anyproto,anytype-mcp,https://github.com/anyproto/anytype-mcp/blob/main/CLAUDE.md,47,0,0.000000,0,1,11
anyproto,anytype-swift,https://github.com/anyproto/anytype-swift/blob/main/CLAUDE.md,83,7,8.433735,1,1,9
anyproto,anytype-ts,https://github.com/anyproto/anytype-ts/blob/main/CLAUDE.md,231,17,7.359307,1,1,182
Azure,LogicAppsUX,https://github.com/Azure/LogicAppsUX/blob/main/CLAUDE.md,142,9,6.338028,1,1,121
badlogic,lemmy,https://github.com/badlogic/lemmy/blob/main/CLAUDE.md,6,2,33.333333,1,2,3
berachain,beacon-kit,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,345,1,0.289855,1,1,203
BerriAI,litellm,https://github.com/BerriAI/litellm/blob/main/CLAUDE.md,163,25,15.337423,1,1,122
blokadaorg,blokada,https://github.com/blokadaorg/blokada/blob/main/CLAUDE.md,1,0,0.000000,0,1,1
browser-use,browser-use,https://github.com/browser-use/browser-use/blob/main/CLAUDE.md,113,14,12.389381,1,1,18
busser,tfautomv,https://github.com/busser/tfautomv/blob/main/CLAUDE.md,64,0,0.000000,0,1,46
CapSoftware,Cap,https://github.com/CapSoftware/Cap/blob/main/CLAUDE.md,235,32,13.617021,1,1,229
clidey,dory,https://github.com/clidey/dory/blob/main/CLAUDE.md,63,4,6.349206,1,1,3
cloudflare,workers-sdk,https://github.com/cloudflare/workers-sdk/blob/main/CLAUDE.md,2,0,0.000000,0,1,2
cloudposse,atmos,https://github.com/cloudposse/atmos/blob/main/CLAUDE.md,283,44,15.547703,1,1,54
cloudwalk,stratus,https://github.com/cloudwalk/stratus/blob/main/CLAUDE.md,95,2,2.105263,1,1,6
cockroachdb,cockroach,https://github.com/cockroachdb/cockroach/blob/master/CLAUDE.md,85,6,7.058824,1,1,81
coder,coder,https://github.com/coder/coder/blob/main/CLAUDE.md,245,30,12.244898,1,1,20
colinhacks,zod,https://github.com/colinhacks/zod/blob/main/CLAUDE.md,120,32,26.666667,1,1,120
Comfy-Org,comfy-claude-prompt-library,https://github.com/Comfy-Org/comfy-claude-prompt-library/blob/master/CLAUDE.md,214,18,8.411215,1,2,129
compiler-explorer,compiler-explorer,https://github.com/compiler-explorer/compiler-explorer/blob/main/CLAUDE.md,111,12,10.810811,1,1,103
compiler-explorer,infra,https://github.com/compiler-explorer/infra/blob/main/CLAUDE.md,335,18,5.373134,1,1,317
dailydotdev,apps,https://github.com/dailydotdev/apps/blob/main/CLAUDE.md,187,42,22.459893,1,1,120
domaframework,doma,https://github.com/domaframework/doma/blob/master/CLAUDE.md,3,0,0.000000,0,1,3
dotCMS,core,https://github.com/dotCMS/core/blob/main/CLAUDE.md,45,7,15.555556,1,4,1
dropseed,plain,https://github.com/dropseed/plain/blob/main/CLAUDE.md,88,11,12.500000,1,1,68
